Sample,Lane,R,Step,Length.Ave,Length.Sd,Count.Total,Count.Ave,Count.Sd,Files,Length.Ave.Ps,Count.Total.Ps
TORN_Pool_8_S8,NA,NA,Rmrep,NA,NA,NA,NA,NA,NA,136.21485,5518950
TORN_Pool_9_S9,NA,NA,Rmrep,NA,NA,NA,NA,NA,NA,125.5788,5801270
TORN_Pool_10_S10,NA,NA,Rmrep,NA,NA,NA,NA,NA,NA,117.9441,4073992
TORN_Pool_4_S4,NA,NA,Bandp,144.4282,19.17716,573056,71.65887,193.8665,7997,144.4282,573056
TORN_Pool_5_S5,NA,NA,Bandp,145.3713,16.53313,397674,41.15004,104.00488,9664,145.3713,397674
TORN_Pool_6_S6,NA,NA,Bandp,145.5867,16.70322,707110,82.26992,216.11191,8595,145.5867,707110
TORN_Pool_7_S7,NA,NA,Bandp,145.8046,16.49807,928744,90.89293,230.57328,10218,145.8046,928744
TORN_Pool_8_S8,NA,NA,Bandp,144.656,18.02418,308880,28.70632,89.62009,10760,144.656,308880
TORN_Pool_9_S9,NA,NA,Bandp,145.1187,17.57544,624600,62.79912,144.54259,9946,145.1187,624600
TORN_Pool_10_S10,NA,NA,Bandp,142.5791,22.48315,374204,47.76666,117.26805,7834,142.5791,374204
